period,customer_segment,Conversion Rate,Customer Lifetime Value,Return Rate,Average Order Value,Customer Retention Rate
0000-54,S,,5.0,,5.0,
0003-21,S,,-35.0,,-35.0,
2010-12,M,,2390.8,,2390.8,
2010-12,S,,3496.1111111111113,,3496.1111111111113,
2011-01,M,,3383.605633802817,,3383.605633802817,
2011-01,S,,3144.6438356164385,,3144.6438356164385,
2011-02,M,,3318.7323943661972,,3318.7323943661972,
2011-02,S,,3159.958904109589,,3159.958904109589,
2011-03,M,,3397.4725274725274,,3397.4725274725274,
2011-03,S,,2982.9661016949153,,2982.9661016949153,
2011-04,M,,3094.688311688312,,3094.688311688312,
2011-04,S,,3296.8875,,3296.8875,
2011-05,M,,3304.0,,3304.0,
2011-05,S,,3136.2911392405063,,3136.2911392405063,
2011-06,M,,3047.8125,,3047.8125,
2011-06,S,,3322.0150375939847,,3322.0150375939847,
2011-06,Unknown,,3375.0,,3375.0,
2011-07,M,,3236.987012987013,,3236.987012987013,
2011-07,S,,3130.288288288288,,3130.288288288288,
2011-08,M,,3120.9540229885056,,3120.9540229885056,
2011-08,S,,3235.7830188679245,,3235.7830188679245,
2011-09,M,,3177.6960784313724,,3177.6960784313724,
2011-09,S,,3360.5060240963853,,3360.5060240963853,
2011-10,M,,3119.477876106195,,3119.477876106195,
2011-10,S,,3293.175925925926,,3293.175925925926,
2011-11,M,,2985.9065420560746,,2985.9065420560746,
2011-11,S,,3376.3861386138615,,3376.3861386138615,
2011-12,M,,3037.60162601626,,3037.60162601626,
2011-12,S,,2987.5757575757575,,2987.5757575757575,
2012-01,M,,1888.952380952381,,1888.952380952381,
2012-01,S,,2042.5,,2042.5,
2012-02,M,,2021.3307692307692,,2021.3307692307692,
2012-02,S,,1878.6076923076923,,1878.6076923076923,
2012-03,M,,1696.8909090909092,,1696.8909090909092,
2012-03,S,,1831.5686274509803,,1831.5686274509803,
2012-04,M,,1764.2118644067796,,1764.2118644067796,
2012-04,S,,1902.4455445544554,,1902.4455445544554,
2012-05,M,,1693.6568627450981,,1693.6568627450981,
2012-05,S,,1772.5047619047618,,1772.5047619047618,
2012-06,M,,1749.0522875816994,,1749.0522875816994,
2012-06,S,,1742.648484848485,,1742.648484848485,
2012-07,M,,1816.7089552238806,,1816.7089552238806,
2012-07,S,,1795.482142857143,,1795.482142857143,
2012-08,M,,1749.3795620437957,,1749.3795620437957,
2012-08,S,,1810.3312101910828,,1810.3312101910828,
2012-09,M,,1857.3178294573643,,1857.3178294573643,
2012-09,S,,1759.0359712230215,,1759.0359712230215,
2012-09,Unknown,,2049.0,,2049.0,
2012-10,M,,1721.552795031056,,1721.552795031056,
2012-10,S,,1697.0723684210527,,1697.0723684210527,
2012-11,M,,1595.9622641509434,,1595.9622641509434,
2012-11,S,,1722.1818181818182,,1722.1818181818182,
2012-12,M,,1745.4923076923078,,1736.5867346938776,
2012-12,S,,1786.685534591195,,1786.685534591195,
2013-01,M,,1443.4420731707316,,1421.7687687687687,
2013-01,S,,1285.314381270903,,1285.314381270903,
2013-02,M,,525.2862694300518,,499.4100985221675,
2013-02,S,,608.4808652246256,,600.4876847290641,
2013-03,M,,605.2270210409745,,582.0234291799787,
2013-03,S,,691.2252747252747,,670.0559254327563,
2013-04,M,,629.7381228273465,,603.8488888888888,
2013-04,S,,716.6847360912982,,705.6123595505618,
2013-05,M,,702.123076923077,,671.8056918547595,
2013-05,S,,806.2513440860215,,776.0038809831824,
2013-06,M,,811.1453703703704,,780.086375779163,
2013-06,S,,881.767012687428,,865.7893544733862,
2013-06,Unknown,,2419.0,,2419.0,
2013-07,M,,725.9373776908024,,692.7245564892623,
2013-07,S,,813.2764857881137,,782.9303482587064,
2013-08,M,,769.0982391102873,,744.2663677130045,
2013-08,S,,874.3015873015873,,843.4075382803298,
2013-09,M,,778.2404317958783,,753.1120607787275,
2013-09,S,,804.7933579335794,,787.3610108303249,
2013-10,M,,764.8040244969379,,745.2438192668371,
2013-10,S,,858.7720430107527,,833.6722338204593,
2013-11,M,,833.5265049415992,,806.7086956521739,
2013-11,S,,924.1310942578548,,910.3233724653148,
2013-12,M,,861.8810763888889,,832.2606873428332,
2013-12,S,,898.3088685015291,,882.1231231231232,
2014-01,M,,55.46153846153846,,52.825742574257426,
2014-01,S,,53.725212464589234,,51.81693989071038,
,M,,473.2,,473.2,
,S,,287.3333333333333,,287.3333333333333,
